TIME 24 HOURS,BASE/SUB BASE,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,
2130,KIKUYU,KIAMBU,NAIVASHA NAIROBI,KIAMBAA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,68,PEDESTRIAN,1,20/06/2016,
1230,EMBAKASI,NAIROBI,MOMBASA,IMARA DAIMA,THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,J,60,PEDESTRIAN,1,19/06/2016,
1100,KILIFI,KILIFI,KILIFI-MALINDI,CHUMANI,HEAD ON COLLISION,M,A,10,MOTOR CYCLIST & P/PASSENGER,2,19/06/2016,
2100,SALGAA,NAKURU,NAKURU-ELDORET,MOLO RIVER,HIT & RAN,M,A,98,PEDESTRIAN,1,19/06/2016,
2100,MAKONGENI,NAIROBI,JOGOO,MAZIWA,THE BUS HIT THE MOTOR CYCLE FROM BEHIND,M,30,30,MOTOR CYCLIST,1,19/06/2016,
UNKNOWN TIME,TARU,KWALE,MSA VOI ROAD,PIPELINE,HIT AND RUN,M,A,98,PEDESTRIAN,1,18/06/2016,
1120,MTWAPA,KILIFI,KILIFI MOMBASA,GOROFANI AREA,THE VEHICLE HIT THE M/CYCLE,M,36,26,P/PASSENGER,1,18/06/2016,
1500,LARI,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,A,26,DRIVER,1,18/06/2016,
1500,LARI,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,A,26,PASSENGER,2,18/06/2016,
1830,GIGIRI,NAIROBI,PARKLANDS MUTHAMA,MUTHAMA JUNCTION,THE CYCLE WAS HIT BY THE MOTOR VEHICLE,M,40,7,M/CYCLIST,1,18/06/2016,
2030,GUCHA,KISII,KISII KILGORIS ROAD,GUCHA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,7,PEDESTRIAN,1,18/06/2016,
1830,AWENDO,HOMA BAY,KISII MIGORI,GUCHA BRIDGE,HEAD ON COLLISION,F,A,26,PASSENGER,1,18/06/2016,
2100,KISERIAN,KAJIADO,KISERIAN ISINYA,DAWAMU,HEAD ON COLLISION,M,33,22,M/CYCLIST,1,18/06/2016,
2330,KITALE,UASIN GISHU,KITALE WEBUYE,KIMININI,THE VEHICLE HIT THE M/CYCLE,M,27,8,P/PASSENGER,1,18/06/2016,
2200,TARAKWA,NAKURU,ELDORET NAKURU,NGONG,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,68,PEDESTRIAN,1,18/06/2016,
2230,NAROK,NAROK,NAROK OLOPITO,OLOPITO,HIT AND RUN,M,A,98,PEDESTRIAN,1,18/06/2016,
110,KAREN,NAIROBI,NGONG ROAD,PATHWAY JUNCTION,HIT AND RUN,M,40,98,PEDESTRIAN,1,18/06/2016,
900,KAJIADO,KAJIADO,OLENARA IMPORO,IMPORO AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,A,80,PASSENGER,1,17/06/2016,
1920,DAGORETI,NAIROBI,WAIYAKI WAY,KANGEMI MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM,M,36,60,PEDESTRIAN,1,17/06/2016,
2245,KERICHO,KERCHO,KERICHO NAKURU,AISUKU AREA,HEAD ON COLLISION,M,A,10,PASSENGER,1,17/06/2016,
2010,MUMIAS,KAKAMEGA,MUMIAS KAKAMEGA,MWITOTI AREA,HIT AND RUN,M,"17,43",98,PEDESTRIAN,2,17/06/2016,
2045,MUMIAS,KAKAMEGA,MATUNGU OKALLO MURRAM ROAD,MAKALE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,44,M/CYCLIST,1,17/06/2016,
645,KAKAMEGA,KAKAMEGA,EKERO EBUHANGA,EBOKOLO,HIT AND RAN,M,26,98,PEDESTRIAN,1,16/06/2016,
900,KENDU BAY,HOMA BAY,KENDU BAY-KATITO,BIAFRA,HIT AND RAN,M,A,98,PEDESTRIAN,1,16/06/2016,
2100,NAROMORU,NYERI,NYERI-NANYUKI,NATIONAL OIL PETROL STATION,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,50,PEDAL CYCLIST,1,16/06/2016,
220,NTULELE,NAROK,NAROK-MAIMAHIU,MALTAURO,THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH,F,A,78,PASSENGER,1,16/06/2016,
2015,BURETI,KERICHO,BURET NGOINA,NGOINA JUNCTION,THE PROBOX WAS OVERTAKING UNKNOWN M/V HENCE COLLIDED HEAD ON WITH THE PETROL TANKER,M,A,10,7 PASSENGERS 1 DRIVER,8,16/06/2016,
930,CHANGAMWE,MOMBASA,MAINLAND-JOMVU,WAYANI AREA,HEAD ON COLLISION,M,19 & 21,26,M/CYCLIST & P/PASSENGER,2,15/06/2016,
1800,DTEO LANGATA,NAIROBI,SOUTHERN BY PASS,CHINESE CONSTRUCTION SITE,THE BUS KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,30,60,PEDESTRIAN,1,15/06/2016,
1930,NANDI CENTRAL,UASIN GISHU,ELDORET -KAPSABET,LESSOS AREA,THE TRACTOR LOST CONTROL AND HIT A PEDESTRIAN,M,28,26,PEDESTRIAN,1,15/06/2016,
2030,GILGIL,NAKURU,ELEMENTAITA-GACHUMA,KAHURUKO,THE DRIVER FELL DOWN AND WAS RUN OVER BY THE REAR RIGHT WHEEL,M,55,50,DRIVER,1,15/06/2016,
1210,MWEA,EMBU,MWEA EMBU,KIMBIMBI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,78,60,PEDESTRIAN,1,14/06/2016,
900,VOI,TAITA TAVETA,NAIROBI MOMBASA,MACKINON,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,92,PEDESTRIAN,1,14/06/2016,
1700,KEROKA,KISII,KEROKA SOTIK,RIBUOKA AREA,HEAD ON COLLISION,M,A,7,DRIVER,1,14/06/2016,
1730,NAKURU,NAKURU,NAKURU GILGIL,GREENSTEAD SCHOOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,60,60,PEDESTRIAN,1,14/06/2016,
1830,EMBAKASI,NAIROBI,NORTH AIRPORT,NEAR NAKUMATT,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26,PEDESTRIAN,1,14/06/2016,
100,KAREN,NAIROBI,SOUTHERN BY PASS,NDUNYU,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,M,30,26,DRIVER,1,14/06/2016,
2350,KISERIAN,KAJIADO,MAGADI KISERIAN,ST.PATRICK,HEAD ON COLLISION,M,32,92,M/CYCLIST,1,14/06/2016,
1830,NAKURU,NAKURU,NAKURU NAIROBI,MANDERA HOUSE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26,M/CYCLIST,1,14/06/2016,
1900,SALAMA,MAKUENI,MOMBASA-NAIROBI,NGAAMA JUNCTION,THE TRAILER RAMMED INTO THE RARE OF THE MOTOR CYCLE,M,A,29,M/CYCLIST,1,13/06/2016,
2000,INDO AREA,NAIROBI,MOMBASA,NEAR GENERAL MOTORS,THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,A,61,PEDESTRIAN,1,13/06/2016,
2020,LUANDA,KAKAMEGA,SIAYA-LUANDA,GITOMBU AREA,THE MATATU HIT A MOTOR CYCLE,M,A,50,M/CYCLIST,1,13/06/2016,
1945,MARIAKANI,KILIFI,MARIAKANI-KALOLENI,MWAMBA NYUNDO AREA,"THE VEHICLE LOST CONTROL, VEERED OFF THE ROAD AND KNOCKED DOWN A PEDESTRIAN WHO WAS WALKING ASIDE THE ROAD",M,A,26,PEDESTRIAN,1,13/06/2016,
630,DTEO KAYOLE,NAIROBI,KANGUNDO,NEAR MOWLEMROAD JUNCTION,THE CYCLE LOST CONTROL AND FELL DOWN,M,21,54,M/CYCLIST,1,12/06/2016,
1215,ELDORET,UASIN GISHU,NAKURU ELDORET,AT ANNEX,THE VEHICLE KNOCKED DOWN THE VICTIM,F,35,25,P/PASSENGER,1,12/06/2016,
1130,SOTIK,KERICHO,KAPLONG LITEIN,DARAJA SITA,THE VEHICLE LOST CONTROL AND KNOCKED DOWN THE VICTIM,M,9,26,PEDESTRIAN,1,12/06/2016,
1920,KANGUNDO,MAKUENI,KANGUNDO NAIROBI,KALAAH KWARE BRIDGE,THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD,2M & 2F,A,26,4 PASSENGER 1 DRIVER,5,12/06/2016,
2000,DTEO KASARANI,NAIROBI,THIKA,ROOSTERS,THE VEHICLE KNOCKED DOWN THE VICTIM,M,14,98,PEDESTRIAN,1,12/06/2016,
2140,NYANDO,KISUMU,KATITO KENDU,KUSA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,98,PEDESTRIAN,1,12/06/2016,
2330,DTEO BURUBURU,NAIROBI,KANGUNDO,BEN ROSE AREA,HEAD ON COLLISION,M,38,10,DRIVER,1,12/06/2016,
115,BUNGOMA,BUNGOMA,WEBUYE BUNGOMA,SIKATA AREA,THE VEHICLE LOST CONTROL AND RAMMED INTO THE TRAILER,M,A,7,DRIVER,1,12/06/2016,
1100,KITALE,TRANS NZOIA,KITALE-ELDORET,KEPHIS,HEAD ON COLLISION,F,J,26,PASSENGER,1,11/06/2016,
1300,CHANGAMWE,MOMBASA,MOMBASA-NAIROBI,BANGLA AREA,THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,M,36,10,PEDESTRIAN,1,11/06/2016,
1250,KERICHO,UASIN GISHU,KERICHO-KISUMU,KAPKAWA,THE VEHICLE LOST CONTROL AND LANDED IN A DITCH,M,40,26,DRIVER,1,11/06/2016,
1240,MAUA,EMBU,LAARE-MATUATI,MZALENDO,THE VEHICLE LOST CONTROL AND KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,F,10,26,PEDESTRIAN,1,11/06/2016,
400,OTHAYA,NYERI,OTHAYA-NYERI,NDUNYO,"THE VEHICLE LOST CONTROL, VEERED OFF THE ROAD AND LANDED IN A DITCH",M,70 & 66,26,DRIVER PASSENGER,2,11/06/2016,
2020,EMBU,EMBU,EMBU-MERU,KIVUE,HEAD ON COLLISION,M,A,7,MOTOR CYCLIST P/PASSENGER,2,11/06/2016,
2040,NAKURU,NAKURU,NAKURU-NAIROBI,NAIVAS,HIT & RAN,M,30,98,PEDESTRIAN,1,11/06/2016,
1240,THIKA,KIAMBU,THIKA-GATHIMA,GATUANYAGA,THE TRUN BOY WAS RAN OVER BY THE LORRY WHEN HE TRIED TO ALIGHT FROM IT WHILE MOVING,M,A,59,PASSENGER,1,11/06/2016,
2330,NAROK,NAROK,NAROK-BOMET,BOMET,HIT & RAN,M,A,98,PEDESTRIAN,1,11/06/2016,
730,KIRIANI,NYERI,KANGEMA KIRIAI,KANJAMA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,12,16,PEDESTRIAN,1,10/06/2016,
1215,DTEO MAKONGENI,NAIROBI,JOGOO,NEAR UCHUMI,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,28,PEDESTRIAN,1,10/06/2016,
930,NAKURU,NAKURU,LANET NDUNDURI,NEAR NDUNDURI CENTRE,THE CYCLE LOST CONTROL AND THE VICTIM JUMPED AND WAS OVER RAN BY THE VEHICLE,M,A,71,P/PASSENGER,1,10/06/2016,
1200,EMBU,EMBU,EMBU MERU,GATUNDURI,HEAD ON COLLISION,M,A,39,M/CYCLIST,1,10/06/2016,
1730,DTEO STAREHE,NAIROBI,THIKA SUPERHIGHWAY,NEAR NGARA FOOT BRIDGE,THE VEHICLE GOT A TYRE BURST LOST CONTROL AND HIT THE PAVEMENT,M,27,79,DRIVER,1,10/06/2016,
2330,DIANI,KWALE,UKUNDA LIKONI,KING BRIDGE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,40,26,P/CYCLIST,1,10/06/2016,
2100,NAIVASHA,NAKURU,NAROK MAIMAHIU,SETLITE AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,54,60,PEDESTRIAN,1,10/06/2016,
230,SAGANA,MURANGA,SAGANA MAKUTANO,SUICITI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,38,10,M/CYCLIST,1,10/06/2016,
300,NYARI,MOMBASA,LINKS ROAD,NEAR KENOL,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,26,M/CYCLIST,1,10/06/2016,
930,KERUGOYA,KIAMBU,KIMUNYE KUTUS ROAD,KARIA,THE VEHICLE LOST CONTROL AND SWERVED HITTING A TREE,M,40,26,DRIVER,1,09/06/2016,
950,BUSIA,BUSIA,BUSIA KISUMU ROAD,BUSIA TOWNSHIP,THE CYCLE LOST CONTROL AND FELL ON THE TARMAC AND WAS OVER RAN BY THE VEHICLE,M,35,26,M/CYCLIST,1,09/06/2016,
2025,MACHAKOS,MACHAKOS,MACHAKOS KITUI RD,KYUA,THE VEHICLE FAILED TO KEEP TO THE NEAR SIDE OF THE ROAD AND LOST CONTROL OF THE VEHICLE,M,A,8,PASSENGER,4,09/06/2016,
2120,NYAMIRA,KISII,IKONGE MAGWAGWA ROAD,KERUBE,THE VEHICLE LOST CONTROL WHILE NEGOTIATING A CORNER,M,30,26,DRIVER,1,09/06/2016,
2345,MOLO,NAKURU,OLENGURUONE ROAD,NYARUI,THE CYCLE RAMMED INTO THE VEHICLE,M,47,26,P/PASSENGER,1,09/06/2016,
1100,MURANG'A,MURANG'A,MURANG'A SAGANA,NEAR SAGANA,THE CYCLE LOST CONTROL AND FELL OFF,M,A,98,M/CYCLIST,1,08/06/2016,
1800,KERICHO,KERICHO,KERICHO NAKURU,CHAGAIK,HIT AND RUN,M,35,98,M/CYCLIST,1,08/06/2016,
2200,DIANI,KWALE,LUNGALUNGA VANGA,LUNGALUNGA SHOPPING CENTRE,THE KMDK HIT THE REAR OF THE OTHER CYCLE,M,17,10,P/PASSENGER,1,08/06/2016,
1800,MAKUENI,MAKUENI,WOTE MAKINDU,KISENE BRIDGE,THE VEHICLE LOST CONTROL AND PLUNGED INTO THE MISEKE BRIDGE,M,A,26,PASSENGER,5,08/06/2016,
1230,KURIA,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98,M/CYCLIST,1,08/06/2016,
1230,KURIA,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98,P/PASSENGER,1,08/06/2016,
810,TURBO,KAKAMEGA,ELDORET WEBUYE,CHEMOI,HIT AND RUN,M,23,98,PEDESTRIAN,1,07/06/2016,
915,KITUI,MAKUENI,KABATI TOWNSHIP,KABATI TOWNSHIP,THE VEHICLE HIT THE M/CYCLIST,M,70,10,M/CYCLIST,1,07/06/2016,
1530,KAYOLE,NAIROBI,KANGUNDO,KAMULU,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,,PEDESTRIAN,1,07/06/2016,
2055,INDO AREA,NAIROBI,LUSAKA,CAR AND GENERAL,THE VEHICLE LOST CONTROL AND OVERTURNED,F,A,26,PASSENGER,1,07/06/2016,
30,KURIA,MIGORI,KEHANCHA NTIMARU,KEHANCHA TOWN,HIT AND RUN,M,A,98,M/CYCLIST,1,07/06/2016,
1710,VIHIGA,VIHIGA,KAKAMEGA KISUMU,STANDIKISIA,THE VEHICLE LOST CONTROL AND HIT THE VICTIM,M,18,26,M/CYCLIST,1,07/06/2016,
700,MARIAKANI,KILIFI,MOMBASA-NAIROBI,MAZERAS,HIT & RAN,M,41,98,PEDESTRIAN,1,06/06/2016,
1130,ISINYA,KAJIADO,KITENGELA-KAJIADO,STAGE 22,THE VEHICLE HIT A PEDESTRIAN WHO WAS CROSSING THE ROAD,M,A,59,PEDESTRIAN,1,06/06/2016,
2030,MATUU,MACHAKOS,MATUU-THIKA,KWA MAKAA,THE HILLUX FAILED TO KEEP DISTANCE AND HIT A TRACTOR,M,48,10,PASSENGER,1,06/06/2016,
1925,MAKINDU,MAKUENI,MOMBASA-NAIROBI,KIUNDWANI,HEAD ON COLLISION,M,A,10,MOTOR CYCLIST,1,06/06/2016,
1930,GARISSA,GARISSA,GARISSA ROAD,ELDERE,"THE STEERING ROD BROKE, LOST CONTROL & LANDED ON THE LEFT","2M, F",A,80,PASSENGERS,3,06/06/2016,
1630,LIKONI,MOMBASA,LIKONI-FERRY,FERRY TERMINUS,THE VEHICLE POWER FAILED AND ROLLED,M,A,81,DRIVER,1,06/06/2016,
745,DULTAN-HAMMUD,MAKUENI,MOMBASA-NAIROBI,NEAR SULTAN,THE SAID M/V COLLIDED HEAD ON,M,A,98,DRIVER,1,05/06/2016,
1130,KERUGOYA,KIRINYAGA,KUTUS-KERUGOYA,NEAR ST.TERESA CATHOLIC CHURCH,THE SAID M/V KNOCKED DOWN PEDESTRIAN,M,J,60,PEDESTRIAN,1,05/06/2016,
1004,GILGIL,NAKURU,NAKURU-ELEMENTAITA,MZEE WANYAM AREA,THE SAID M/V SUDDENLY STOPPED AT THE MIDDLE OF THE ROAD AND WAS HIT FROM THE REAR OF THE SAID M/CYCLE,M,A,28,RIDER,1,05/06/2016,
1000,BARINGO,BARINGO,NGARATUK O-SIBILO,BARINGO NORTH,THE SAID M/V COLLIDED HEAD ON WITH THE SAID M/CYCLE,M,57,98,RIDER,1,05/06/2016,
1530,LAIKIPIA,LAIKIPIA,BIASHARA STREET,NANYUKI TOWNSHIP,THE SAID M/V KNOCKED DOWN PEDESTRIAN,F,J,6,PEDESTRIAN,1,05/06/2016,
1400,SIAYA,SIAYA,SIAYA NYANDORERA,MWERI AREA,THE SAID M/V OF KANGA HIGH SCHOOL HIT THE SAID M/CYCLE,M,A,38,P/PASSENGER,1,05/06/2016,
2040,NJORO,NAKURU,NJORO-ELBURGON,KINANA FARM,THE SAID M/V KNOCKED DOWN PEDESTRIAN,M,73,60,PEDESTRIAN,1,05/06/2016,
2100,KIRITIRI,EMBU,EMBU-KIRITIRI,MURARU,UNKNOWN M/V KNOCKED DOWN A PEDESTRIAN,M,3,7,PEDESTRIAN,1,05/06/2016,
500,RUIRU,KIAMBU,THIKA ROAD,TOLL AREA,THE VEHICLE RAMMED INTO REAR OF THE M/V KBU 899Z,M,A,4,DRIVER,1,04/06/2016,
800,KAYOLE,NAIROBI,KANGUNDO,RUAI CENTRE,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98,PEDESTRIAN,1,04/06/2016,
1430,MATUNDA,BUNGOMA,CHAVAKALI KILINGILI,KILINGILI,THE VEHICLE LOST CONTROL AND VEERED AND KNOCKED DOWN THE VICTIM,M,A,26,PEDESTRIAN,1,04/06/2016,
1610,NYANDO,HOMA BAY,AWASI AHERO ROAD,MAGENDO,HEAD ON COLLISION,M,A,26,M/CYCLIST,1,04/06/2016,
1610,NYANDO,HOMA BAY,AWASI AHERO ROAD,MAGENDO,HEAD ON COLLISION,M,A,26,P/PASSENGER,1,04/06/2016,
2000,STAREHE,NAIROBI,THIKA SUPER HIGHWAY,MUTHAIGA FOOT BRIDGE,HIT AND RUN,M,A,98,PEDESTRIAN,1,04/06/2016,
1800,TIMBOROA,UASIN GISHU,ELDORET NAKURU,TIMBOROA,HEAD ON COLLISION,F,J,19,PASSENGER,1,04/06/2016,
1930,KISII,KISII,KISII MARANI,NYATIEKO,THE VEHICLE COLLIDED WITH A M/CYCLE,M,A,98,P/PASSENGER,2,04/06/2016,
1930,KISII,KISII,KISII MARANI,NYATIEKO,THE VEHICLE COLLIDED WITH A M/CYCLE,M,A,98,M/CYCLIST,1,04/06/2016,
2230,WEBUYE,BUNGOMA,WEBUYE KITALE ROAD,MISIKHU,THE CYCLE KNOCKED DOWN THE VICTIM,F,60,7,PEDESTRIAN,1,04/06/2016,
2200,ONGATA RONGAI,NAIROBI,GATAKA DIVERSION,GATAKA,THE VEHICLE LOST CONTROL AND SLID INTO A QUARRY,M,A,26,PASSENGER,1,04/06/2016,
500,BUNGOMA,BUNGOMA,BUNGOMA WEBUYE ROAD,SIKATA,HIT AND RUN,M,A,98,PEDESTRIAN,1,02/06/2016,
400,MARAGWA,MURANG'A,KENOL MURANG'A ROAD,KARIGIA,THE VEHICLE LOST CONTROL AND ROLLED SEVERAL TIMES,F,19,26,PASSENGER,1,02/06/2016,
